epg_channel_id,schedule_source
ss_main_event,https://epg.pw/api/epg.xml?lang=en&timezone=QXNpYS9TaGFuZ2hhaQ%3D%3D&channel_id=9526
ss_news,https://epg.pw/api/epg.xml?lang=en&timezone=RXVyb3BlL0xvbmRvbg%3D%3D&channel_id=12337
